model,node21_score,time_sec,missing,unexpected,sens@0.25,sens@0.5,sens@1,sens@2,sens@4,sens@8
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_16_20260101_104415.pth,0.8924408924319769,189.3,0,0,0.7622377622301475,0.8911088910999889,0.9160839160747644,0.9270729270636656,0.9290709290616477,0.9290709290616477
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_11_20260101_104415.pth,0.8881118881030158,189.1,0,0,0.7312687312614259,0.8921078920989799,0.9170829170737554,0.9260739260646745,0.9310689310596296,0.9310689310596296
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_18_20260101_104415.pth,0.8862803862715324,189.0,0,0,0.786213786205932,0.895104895095953,0.9090909090818272,0.9090909090818272,0.9090909090818272,0.9090909090818272
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_17_20260101_104415.pth,0.8817848817760726,189.1,0,0,0.7812187812109769,0.893106893097971,0.9040959040868721,0.9040959040868721,0.9040959040868721,0.9040959040868721
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_14_20260101_104415.pth,0.8797868797780907,188.1,0,0,0.7512487512412462,0.8861138861050338,0.9080919080828362,0.9110889110798093,0.9110889110798093,0.9110889110798093
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_15_20260101_104415.pth,0.8794538794450938,189.2,0,0,0.7712287712210666,0.8841158841070518,0.9030969030878812,0.9060939060848542,0.9060939060848542,0.9060939060848542
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_12_20260101_104415.pth,0.8792873792785952,188.0,0,0,0.7602397602321654,0.8811188811100787,0.9010989010898991,0.9110889110798093,0.9110889110798093,0.9110889110798093
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_07_20260101_104415.pth,0.8764568764481205,188.2,0,0,0.7072927072856414,0.8641358641272314,0.9080919080828362,0.9210789210697194,0.9290709290616477,0.9290709290616477
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_13_20260101_104415.pth,0.8761238761151234,188.8,0,0,0.7622377622301475,0.8781218781131057,0.9040959040868721,0.9040959040868721,0.9040959040868721,0.9040959040868721
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_10_20260101_104415.pth,0.8747918747831355,188.6,0,0,0.7292707292634438,0.8771228771141146,0.9030969030878812,0.9130869130777913,0.9130869130777913,0.9130869130777913
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_09_20260101_104415.pth,0.8729603729516521,188.4,0,0,0.6953046952977492,0.8631368631282403,0.9050949050858632,0.9240759240666926,0.9250749250656836,0.9250749250656836
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_08_20260101_104415.pth,0.8727938727851536,187.8,0,0,0.6763236763169198,0.839160839152456,0.9090909090818272,0.9260739260646745,0.9400599400505488,0.946053946044495
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_06_20260101_104415.pth,0.8573093573007927,188.9,0,0,0.6573426573360904,0.842157842149429,0.893106893097971,0.9040959040868721,0.9220779220687105,0.9250749250656836
best_frcnn_canal_frcnn_attention_cbam_vindn_node21_20260101_104415.pth,0.8473193473108825,188.4,0,0,0.6143856143794767,0.8241758241675906,0.8821178821090697,0.9090909090818272,0.9270729270636656,0.9270729270636656
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_05_20260101_104415.pth,0.8473193473108825,188.3,0,0,0.6143856143794767,0.8241758241675906,0.8821178821090697,0.9090909090818272,0.9270729270636656,0.9270729270636656
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_04_20260101_104415.pth,0.7837162837084543,189.0,0,0,0.5684315684258898,0.7632367632291385,0.7972027971948331,0.8301698301615368,0.8701298701211775,0.8731268731181506
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_03_20260101_104415.pth,0.7619047618971505,189.0,0,0,0.5504495504440514,0.7322677322604169,0.7852147852069409,0.8191808191726355,0.8371628371544739,0.8471528471443841
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_02_20260101_104415.pth,0.6906426906357911,189.2,0,0,0.42957042956613817,0.6233766233703958,0.7042957042886684,0.7652347652271205,0.7992007991928152,0.8221778221696086
checkpoint_canal_frcnn_vindn_attention_cbam_epoch_01_20260101_104415.pth,0.6521811521746369,188.7,0,0,0.39660339659943455,0.5724275724218538,0.6503496503431534,0.7222777222705067,0.7692307692230846,0.8021978021897882
