Unnamed: 0,height,img_name,label,width,x,y,file_path
0.0,94.0,n0239.mha,1,92.0,776.0,579.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0239.png
1.0,40.0,n0342.mha,1,27.0,223.0,642.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0342.png
2.0,111.0,n0996.mha,1,159.0,687.0,310.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0996.png
3.0,84.0,n0418.mha,1,81.0,343.0,510.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0418.png
4.0,69.0,n0538.mha,1,62.0,599.0,645.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0538.png
5.0,53.0,n1026.mha,1,60.0,758.0,621.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n1026.png
6.0,36.0,n0986.mha,1,38.0,171.0,512.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0986.png
7.0,67.0,n0993.mha,1,60.0,220.0,497.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0993.png
8.0,84.0,n0204.mha,1,80.0,213.0,483.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0204.png
9.0,96.0,n0373.mha,1,72.0,631.0,642.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0373.png
10.0,59.0,n0373.mha,1,48.0,203.0,489.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0373.png
11.0,56.0,n0373.mha,1,54.0,250.0,498.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0373.png
12.0,48.0,n0497.mha,1,46.0,338.0,415.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0497.png
13.0,35.0,n0497.mha,1,37.0,183.0,668.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0497.png
14.0,46.0,n0128.mha,1,54.0,196.0,691.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0128.png
15.0,38.0,n1101.mha,1,63.0,260.0,494.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n1101.png
16.0,104.0,n0783.mha,1,98.0,245.0,391.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0783.png
17.0,78.0,n0978.mha,1,72.0,305.0,504.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0978.png
18.0,44.0,n0919.mha,1,41.0,741.0,481.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0919.png
19.0,48.0,n0535.mha,1,54.0,396.0,329.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0535.png
20.0,30.0,n0704.mha,1,29.0,851.0,679.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0704.png
21.0,34.0,n0736.mha,1,27.0,815.0,745.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0736.png
22.0,45.0,n0690.mha,1,49.0,129.0,799.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0690.png
23.0,108.0,n0989.mha,1,121.0,140.0,465.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0989.png
24.0,49.0,n0990.mha,1,54.0,635.0,300.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0990.png
25.0,74.0,n0474.mha,1,75.0,192.0,487.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0474.png
26.0,78.0,n0474.mha,1,76.0,184.0,685.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0474.png
27.0,78.0,n0474.mha,1,52.0,144.0,762.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0474.png
28.0,62.0,n0034.mha,1,62.0,812.0,670.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0034.png
29.0,43.0,n0886.mha,1,41.0,725.0,496.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0886.png
30.0,54.0,n0436.mha,1,45.0,833.0,375.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0436.png
31.0,86.0,n0602.mha,1,75.0,401.0,235.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0602.png
32.0,60.0,n0352.mha,1,64.0,237.0,717.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0352.png
33.0,45.0,n0352.mha,1,38.0,287.0,593.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0352.png
34.0,57.0,n0352.mha,1,56.0,326.0,642.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0352.png
35.0,68.0,n0838.mha,1,52.0,322.0,504.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0838.png
36.0,72.0,n0838.mha,1,67.0,375.0,309.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0838.png
37.0,77.0,n0471.mha,1,58.0,537.0,241.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0471.png
38.0,114.0,n0604.mha,1,86.0,250.0,351.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0604.png
39.0,23.0,n0604.mha,1,18.0,827.0,685.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0604.png
40.0,83.0,n0766.mha,1,88.0,757.0,660.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0766.png
41.0,47.0,n0076.mha,1,47.0,636.0,158.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0076.png
42.0,28.0,n0099.mha,1,36.0,165.0,776.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0099.png
43.0,65.0,n0769.mha,1,70.0,175.0,655.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0769.png
44.0,120.0,n0726.mha,1,93.0,320.0,480.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0726.png
45.0,51.0,n0726.mha,1,47.0,820.0,522.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0726.png
46.0,37.0,n1095.mha,1,43.0,634.0,233.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n1095.png
47.0,52.0,n1095.mha,1,39.0,612.0,284.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n1095.png
48.0,32.0,n0992.mha,1,29.0,244.0,578.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0992.png
49.0,32.0,n0992.mha,1,27.0,209.0,529.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0992.png
50.0,56.0,n1094.mha,1,60.0,313.0,434.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n1094.png
51.0,51.0,n0370.mha,1,56.0,847.0,460.0,/content/drive/MyDrive/ML/DATASETS/NODE21/proccessed_data/images/n0370.png
